,state,actions,q_value
0,0,0,4.272098073320238
1,0,1,2.4682841393194646
2,0,2,5.467290003376812
3,0,3,6.882068787317905
4,1,0,3.8665439057394093
5,1,1,7.69725312151564
6,1,2,3.8936992319654244
7,1,3,4.219746847718775
8,2,0,5.477183941139569
9,2,1,1.4993288174769261
10,2,2,2.0011745193025536
11,2,3,1.1615431378584886
12,3,0,3.9114371822161664
13,3,1,2.998917857530714
14,3,2,5.762500402632612
15,3,3,2.9988133912790205
16,4,0,2.75
17,4,1,2.75
18,4,2,3.75
19,4,3,5.5
20,5,0,2.5
21,5,1,5.0
22,5,2,3.5
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
